Артикул	Наименование	Описание	Вес (г)	Цена (₽)
S001	Кофе-Брейк на 25-30 человек	Комплексный набор для кофе-брейка с сэндвичами гриль, брускеттами, пирожками и десертами	4440	22290
S002	Вечер в Италии на 5-10 человек	Прекрасное сочетание популярных итальянских позиций для небольшого фуршета	1620	14990
S003	Уик-энд в Италии на 15-20 человек	Расширенная версия итальянского набора с увеличенным количеством позиций	5028	49390
S004	Мини-пир на троих на 5-10 человек	Изысканные русские деликатесы в виде авторских брускетт и канапе	1620	14890
S005	Вкусные Русские на 15-20 человек	Расширенный набор русских деликатесов для большой компании	4836	52890
S006	Большой Русский сет на 20-30 человек	Полноценный русский банкет с брускеттами, салатами, пирожками и десертами	17004	111990
S007	Дегустация на троих на 3-5 человек	Компактный набор самых популярных позиций меню для небольшой компании	2808	23490
S008	День рождения на 8-12 человек	Праздничный набор с авторскими брускеттами, канапе и мини-пирожными	2330	15990
S009	У нас вечеринка! на 15-20 человек	Веселый набор для вечеринки с итальянскими брускеттами и закусками	6492	57990
S010	Стильно и вкусно на 20-30 человек	Изысканный набор для стильного мероприятия с итальянскими и русскими позициями	7368	67990
S011	Пирожков захотелось на 20-30 человек	Ароматное ассорти домашних пирожков с различными начинками	5120	12990
S012	Сладкая жизнь на 20-30 человек	Коллекция лучших десертов: капкейки, тортики с ягодами и макаруны	2595	15490
S013	Набор от мангальщика на 20-30 человек	Горячие закуски с мангала: телятина, курица, овощи гриль с фирменными соусами	4000	22490
S014	Детский сет на 10 человек	Любимые детьми закуски, фирменные пирожки и сладкие десерты	3290	16990
S015	Недетский сет на 10-15 человек	Изысканные закуски, идеально сочетающиеся с алкогольными напитками	1968	19990
S016	От шефа на 10-15 человек	Фирменный набор от шеф-повара с самыми популярными и изысканными позициями	2760	23490
S017	Новогодний фейерверк на 20-24 человека	Праздничный набор для новогоднего фуршета с традиционными и авторскими блюдами	8150	54990
S018	Фуршет на 15-20 человек	Классический фуршетный набор с брускеттами, канапе, салатами и десертами	3050	18990
S019	Кофе-Брейк на 12-16 человек	Компактный набор для кофе-брейка с сэндвичами, пирожками и десертами	3010	13990
S020	Фуршет на 10-15 человек	Элегантный фуршетный набор с авторскими брускеттами и воздушными десертами	2390	14990
S021	День рождения на 12-16 человек	Расширенный праздничный набор с увеличенным количеством десертов	3830	22990
