Артикул	Наименование	Описание	Вес (г)	Цена (₽)
B001	Говяжий бок на подушке из картофельно-тыквенного пюре	Нежная говядина на воздушном пюре из картофеля и тыквы	250	1150
B002	Запеченная скумбрия с баклажанами и кунжутным соусом	Ароматная рыба с овощами под изысканным азиатским соусом	270	1100
B003	Медальоны из говядины с сезонными грибами	Сочные медальоны премиальной говядины с лесными грибами	250	1350
B004	Радужная форель с пюре васаби, биск, тартар из огурцов	Деликатесная форель с японскими акцентами и свежим тартаром	260	1600
B005	Телячьи щечки с картофельно-сельдереевым кремом и грибным соусом	Томленые щечки молодой телятины в ароматном грибном соусе	250	1200
B006	Треска угольная с овощной икрой	Благородная черная треска с изысканной овощной икрой	250	1450
B007	Турнедо из лосося со сливочным соусом с овощным мильфеем	Филе лосося с нежным сливочным соусом и овощным слоеным пирогом	250	1950
B008	Утиная ножка с трюфельным пюре со сливовым демигласом	Конфи из утиной ножки с роскошным трюфельным пюре	350	1650
B009	Филе палтуса на подушке из овощной лапши с зеленым соусом	Нежнейший палтус с овощной лапшой под свежим зеленым соусом	250	1950
B010	Хрустящая цветная капуста с кремом из сельдерея и черным птитимом	Оригинальное вегетарианское блюдо с восточными нотками	250	550
B011	Цыпленок в апельсиново-имбирном маринаде и печеным картофелем	Ароматная птица в цитрусовом маринаде с запеченными овощами	250	650
