Артикул	Наименование	Описание	Вес (г)	Цена (₽)
AS001	Сет Деловой на 21-25 персон	Элегантные закуски для деловых встреч с канапе, брускеттами и фруктами	6023	25990
AS002	Сет Праздничный на 21-25 персон	Изысканные закуски для банкетов с фуршетными сетами и десертами	5740	28590
AS003	Сет Праздничный на 10-15 персон	Компактный праздничный набор с итальянскими канапе и брускеттами	2594	17990
AS004	Сет Пикантный на 10-15 персон	Яркие закуски с насыщенными вкусами и пряными нотками	3428	18990
AS005	Сет Для пикника на 10-15 персон	Легкие сытные закуски для пикников с тако и мини-эклерами	3542	18190
AS006	Сет Средиземноморский на 16-20 персон	Традиции Италии, Франции и Греции с морепродуктами и свежими овощами	4960	26990
AS007	Сытный кофе-брейк на 16-20 персон	Питательные закуски и свежая выпечка для деловых встреч	4625	16490
AS008	VIP кофе-брейк на 16-20 персон	Премиальные закуски и авторские десерты для особых мероприятий	4668	26790
AS009	Сет Изысканный на 20-25 персон	Авторские закуски с эксклюзивными сочетаниями для гурманов	5832	28490
AS010	Сет Стрит-фуд на 16-20 персон	Популярные уличные закуски: мини-бургеры, роллы и хот-доги	4470	15990
AS011	Сытный кофе-брейк на 21-25 персон	Расширенный кофе-брейк с изысканными закусками и домашними пирожками	7247	29890
