Артикул	Наименование	Описание	Вес (мл)	Цена (₽)
N001	Кофе эспрессо	Классический эспрессо из зерен премиального качества	30	80
N002	Кофе американо	Мягкий кофе с горячей водой	200	100
N003	Кофе капучино	Эспрессо с молочной пеной	180	120
N004	Кофе латте	Нежный кофе с молоком	250	140
N005	Чай черный премиум	Элитный цейлонский чай	200	60
N006	Чай зеленый жасминовый	Ароматный зеленый чай с жасмином	200	70
N007	Чай травяной ассорти	Микс травяных чаев	200	65
N008	Лимонад классический	Освежающий лимонад с мятой	300	90
N009	Лимонад ягодный	Лимонад с лесными ягодами	300	95
N010	Апельсиновый фреш	Свежевыжатый апельсиновый сок	250	150
N011	Вода минеральная	Негазированная минеральная вода	500	40
N012	Вода газированная	Газированная минеральная вода	500	45
N013	Морс клюквенный	Домашний морс из клюквы	300	85
N014	Компот из сухофруктов	Традиционный компот	300	70
N015	Молоко для кофе	Цельное молоко 3.2%	100	30
