Артикул	Наименование	Описание	Вес (г)	Цена (₽)
K001	Сет Вегетарианский	Овощи крудите с хумусом, мини-фрукты и сэндвичи с хумусом	1260	4590
K002	Сет вегетарианских канапе Veggie	Овощные крудите, спаржа в нори, сфера из сухофруктов, тофу	678	2990
K003	Сет вегетарианских канапе Antipasti	Антипасти с овощами, бейби-картофель с хумусом, тофу с чукой	876	2490
K004	Сет канапе Sweet Veggie	Фрукты с виноградом, финик с хумусом, медовая свекла, овощная грядка	858	2790
K005	Сет Vegan Box	Брюссельская капуста, овощные крудите, редис с огурцом, спаржа с дайконом	894	2490
K006	Сет канапе Свежий взгляд	Креветка с васаби, мусс из феты, салями с овощами, капуста с курицей	798	2590
K007	Сет канапе Римский	Томат с моцареллой, креветка с гуакамоле, спаржа в курином филе, финик с рикоттой	732	3790
K008	Сет канапе Алтайский	Мини-фрукты, антипасти с курицей, лосось на хлебе, камамбер с ягодами	684	3390
K009	Сет канапе Палитра вкусов	Креветка с чукой, курица с ананасом, тунец татаки, канапе из феты	774	3490
H001	Соцветия брокколи и цветной капусты	Свежие соцветия брокколи и молодой цветной капусты на пару	500	2690
H002	Цукини гриль с баклажанами и перцем	Овощи гриль: цукини, баклажаны, болгарский перец, шампиньоны	500	3190
H003	Брюссельская капуста с беконом	Мини брюссельская капуста с ароматным сырокопченым беконом	500	3950
H004	Спаржа в беконе с брокколи и халапеньо	Спаржа гриль в беконе с брокколи и острым перцем халапеньо	500	1890
C001	Ассорти солений	Корнишоны, томаты черри, опята, черемша, жемчужный лук с зеленью	850	2650
C002	Сет итальянских закусок	Артишоки, маслины, каперсы, томаты в масле, жемчужная моцарелла	360	2690
C003	Свежие бакинские овощи	Томаты, огурцы, редис, болгарский перец, сельдерей, зеленый базилик	1100	3990
C004	Маринованные грибы по собственному рецепту	Ассорти маринованных грибов с домашними соусами песто и кимчи	800	2890
C005	Фруктовое ассорти	Ананас, киви, зеленое яблоко, виноград, апельсин, коктейльная вишня	1000	2290
BR001	Сет левантийских брускетт	Бабагануш с кедровыми орехами, артишок с томатами, овощи с песто	576	4290
BR002	Сет вегетарианских брускетт №1	Овощи с томатным песто, мусс из батата, хумус с томатами конкасе	618	2790
BR003	Сет вегетарианских брускетт №2	Спаржа с хумусом, гуакамоле с томатами конфи, мусс из тыквы	630	2900
BR004	Сет брускетт Баланс вкуса	Цыпленок с муссом из феты, креветка с рикоттой, хумус с томатами	618	2890
BR005	Сет брускетт Итальянская легкость	Индейка с луковым конфитюром, томаты с брынзой, тунец с гуакамоле	594	2980
SF001	Сет вегетарианских мини-бургеров	Мини-бургеры с растительными котлетами и разными соусами	1288	3650
SF002	Сет фитбургеров № 1	Бургеры на хлебцах с растительными котлетами и хумусом	699	2190
SF003	Сет фитбургеров № 2	Фитбургеры с растительными котлетами, овощами гриль и гуакамоле	750	2390
SF004	Сет овощных роллов	Роллы с хрустящими овощами, корейской морковью и соусом сальса	1155	3190
SA001	Сет Салатов № 5	Спаржа с козьим сыром, мезе с артишоками, мусс из печеного батата	740	4790
SA002	Сет Салатов № 6	Утиная грудка с фенхелем, салат капрезе, дор блю с тыквой в розмарине	780	4890
SA003	Сет вегетарианских салатов с киноа и брокколи	Киноа со шпинатом и нутом, свекла с тофу, эдамаме с редисом	908	3490
SA004	Сет салатов Veggie № 1	Оливье постный, киноа с нутом и инжиром, салат овощная грядка	896	2890
SA005	Сет салатов Veggie № 2	Винегрет с опятами, салат из овощей гриль, мусс из тыквы и батата	920	2890
SA006	Сет салатов Lite № 1	Киноа с креветкой и эдамаме, курица с яйцом, пряная свекла с фетой	928	3690
SA007	Сет салатов Lite № 2	Овощи гриль, руккола с креветкой, цезарь с куриным филе	880	3290
D001	Фруктово-ягодный сет	Ананас, киви, виноград в баночках со шпажками и свежие ягоды	630	4690
D002	Большой ягодный сет	Клубника, голубика, малина, ежевика с ароматной мятой	660	6490
D003	Фруктовый сет	Ананас, киви, белый виноград, физалис с веточками мяты	768	4750
D004	Новый ягодный сет	Премиальные ягоды: клубника, голубика, малина, ежевика	720	7490
D005	Новый фруктово-ягодный сет	Изысканное ассорти из 12 видов ягод и 12 видов фруктов	720	5290
D006	Новый фруктовый сет	Разнообразное фруктовое ассорти из 24 отборных видов	720	4290
D007	Ореховое ассорти	Кешью, фундук, жареный арахис, миндаль и натуральные цукаты	864	3490
D008	Сет вегетарианских снеков	Ореховое ассорти, цельнозерновые чипсы, микс сухофруктов	616	2990
