Артикул	Наименование	Описание	Вес (г)	Цена (₽)
IK001	Антипасти с черри, дайконом и оливкой на бородинском тосте	Легкая вегетарианская закуска с овощами на ржаном хлебе	21	90
IK002	Дуэт из тунца и мурманского лосося	Премиальная рыбная закуска с двумя видами благородной рыбы	25	350
IK003	Королевский финик с рикоттой и фисташкой	Сладкая закуска с итальянским сыром и хрустящими орехами	18	125
IK004	Профитроль с муссом из норвежского лосося	Нежное заварное пирожное с деликатесным рыбным муссом	23	140
IK005	Рулетик из пармской ветчины с мягким сыром	Итальянская ветчина с нежным сыром и вялеными томатами	21	180
IK006	Томаты черри с мини-моцареллой и песто	Классическое капрезе в мини-формате с ароматным тимьяном	30	145
IK007	Тунец татаки с карамелизованным лаймом	Слегка обжаренный тунец с муссом манго и цитрусовыми нотками	17	365
IK008	Томленная говяжья вырезка с баклажаном конфи	Премиальная говядина медленного приготовления с баклажанами	18	290
IK009	Камамбер с ягодной пастилой и голубикой	Французский мягкий сыр со сладкой пастилой и свежими ягодами	25	160
IK010	Креветка с гуакамоле и миндальными лепестками	Тигровая креветка с кремом авокадо и хрустящим миндалем	36	170
IBR001	Брускетта с лососем	Слабосоленый лосось на поджаренном деревенском хлебе с зеленью	34	215
IBR002	Брускетта с пармской ветчиной, рукколой и вялеными томатами	Итальянская классика с острой рукколой и солнечными томатами	28	165
IBR003	Брускетта с ростбифом и перепелиным яйцом	Сочный ростбиф средней прожарки с нежным перепелиным яйцом	31	165
IBR004	Брускетта с гуакамоле, томатами конфи и миндалем	Кремовое авокадо с медленно запеченными томатами и миндалем	35	150
IBR005	Брускетта с креветкой, рикоттой и персиком	Тигровая креветка с итальянским сыром и сладким персиком	36	170
IBR006	Брускетта с тунцом, гуакамоле, дайконом и кунжутом	Обжаренный тунец с авокадо в азиатском стиле с кунжутом	33	180
IBR007	Брускетта с римским артишоком	Маринованные артишоки с ароматными итальянскими травами	31	125
IBR008	Брускетта с козьим сыром и томатами конфи	Нежный козий сыр с медленно запеченными сладкими томатами	30	105
IS001	Сэндвич со слабосоленым лососем и хрустящим салатом	Нежный лосось с микс-салатом в фирменном ремесленном хлебе	42	165
IS002	Сэндвич с домашней бужениной и зерновой горчицей	Буженина домашнего приготовления со старорусской горчицей	42	135
IS003	Сэндвич с томленой индейкой сувид и свежими огурчиками	Нежная индейка медленного приготовления с хрустящими огурцами	42	135
IS004	Сэндвич с тунцом	Консервированный тунец премиум класса с майонезом и овощами	42	135
IS005	Сэндвич с сочным куриным филе и соусом цезарь	Куриная грудка на гриле с фирменным соусом цезарь	42	95
IS006	Сэндвич с хумусом, сельдереем и томатом в масле	Вегетарианский сэндвич с нутовой пастой и маринованными овощами	105	350
IB001	Бургер BBQ с томленой индейкой и хрустящим корнишоном	Сочная индейка с соусом барбекю и маринованными корнишонами	75	165
IB002	Бургер с нежной куриной котлеткой и соусом гриль	Домашняя куриная котлета с томатом и фирменным соусом гриль	75	145
IB003	Фишбургер с рыбной котлетой и сыром чеддер	Котлета из белой рыбы с расплавленным чеддером и соусом спайси	70	190
IB004	Чизбургер с бифштексом из мраморной говядины	Премиальная говядина с сыром чеддер в классической подаче	75	185
ISA001	Греческий салат	Свежие овощи с сыром фета, оливками и оригинальной заправкой	72	150
ISA002	Салат Нисуаз	Классический французский салат с тунцом, анчоусами и каперсами	65	150
ISA003	Салат Капрезе	Томаты с моцареллой ди буффало, базиликом и бальзамиком	68	295
ISA004	Салат с копченой утиной грудкой	Изысканная утиная грудка с фенхелем и цитрусовой заправкой	56	310
IV001	Круассан с лососем, сливочным сыром и свежим огурцом	Французский круассан с деликатесным лососем и нежным кремом	75	350
IV002	Круассан с курицей и соусом цезарь	Воздушный круассан с куриным филе и фирменным соусом	75	255
IV003	Мини-киш с сыром дор блю и грушей чатни	Французский мини-пирог с благородным сыром и грушевым чатни	56	325
IV004	Мини-киш с лососем и брокколи	Нежный пирог с норвежским лососем и свежей брокколи	55	325
ID001	Классическое тирамису	Традиционный итальянский десерт с маскарпоне и кофе	30	110
ID002	Капкейк шоколадный	Воздушный шоколадный кекс с нежным кремом	30	135
ID003	Чизкейк с лимонной цедрой	Нежный творожный торт с ароматной лимонной цедрой	30	110
ID004	Мини-эклеры шоколадные	Заварные пирожные с шоколадным кремом и глазурью	30	110
ID005	Баночка со свежими ягодами	Отборные сезонные ягоды в стеклянной баночке	55	275
ID006	Свежие мини-фрукты ассорти	Нарезка из экзотических и сезонных фруктов в стеклянной таре	64	235
